,AIRPORT_NAME,COUNTY,AIRPORT_ELEVATION,COUNTRY_REGION,MUNICIPALITY,AIRPORT_CODE,COORDINATES
51955,Banmaw Airport,MM,370.0,MM-11,Banmaw,BMO,"97.24620056152344, 24.268999099731445"
51956,Bokpyinn Airport,MM,100.0,MM-05,Bokpyinn,VBP,"98.735901, 11.1494"
51959,Dawei Airport,MM,84.0,MM-05,Dawei,TVY,"98.20359802246094, 14.103899955749512"
51960,Naypyidaw Airport,MM,302.0,MM-04,Pyinmana,NYT,"96.200996, 19.623501"
51961,Gangaw Airport,MM,200.0,MM-03,Gangaw,GAW,"94.1343994140625, 22.174699783325195"
51962,Gwa Airport,MM,10.0,MM-16,Gwa,GWA,"94.58329772949219, 17.600000381469727"
51964,Heho Airport,MM,3858.0,MM-17,Heho,HEH,"96.79199981689453, 20.746999740600586"
51965,Hommalinn Airport,MM,534.0,MM-01,Hommalinn,HOX,"94.91400146484375, 24.899599075317383"
51966,Tilin Airport,MM,1385.0,MM-03,Tilin,TIO,"94.0999984741211, 21.700000762939453"
51967,Kengtung Airport,MM,2798.0,MM-17,Kengtung,KET,"99.63600158691406, 21.301599502563477"
51968,Kanti Airport,MM,6000.0,MM-01,Kanti,KHM,"95.67440032958984, 25.988300323486328"
51969,Kalay Airport,MM,499.0,MM-01,Kalemyo,KMV,"94.05110168457031, 23.188800811767578"
51970,Kyaukpyu Airport,MM,20.0,MM-16,Kyaukpyu,KYP,"93.53479766845703, 19.42639923095703"
51971,Kawthoung Airport,MM,180.0,MM-05,Kawthoung,KAW,"98.53800201416016, 10.049300193786621"
51972,Kyauktu Airport,MM,1250.0,MM-03,Kyauktu,KYT,"94.13330078125, 21.399999618530273"
51973,Loikaw Airport,MM,2940.0,MM-12,Loikaw,LIW,"97.21479797363281, 19.691499710083008"
51975,Lashio Airport,MM,2450.0,MM-17,Lashio,LSH,"97.752197265625, 22.9778995513916"
51977,Mandalay International Airport,MM,300.0,MM-04,Mandalay,MDL,"95.97789764404297, 21.702199935913086"
51978,Myeik Airport,MM,75.0,MM-05,Mkeik,MGZ,"98.62149810791016, 12.439800262451172"
51981,Myitkyina Airport,MM,475.0,MM-11,Myitkyina,MYT,"97.35189819335938, 25.38360023498535"
51983,Mawlamyine Airport,MM,52.0,MM-15,Mawlamyine,MNU,"97.66069793701172, 16.444700241088867"
51984,Manaung Airport,MM,102.0,MM-16,Manaung,MGU,"93.68890380859375, 18.845800399780273"
51985,Momeik Airport,MM,600.0,MM-17,,MOE,"96.64530181884766, 23.092500686645508"
51987,Mong Hsat Airport,MM,1875.0,MM-17,Mong Hsat,MOG,"99.25679779052734, 20.516799926757812"
51988,Mong Tong Airport,MM,1840.0,MM-17,Mong Tong,MGK,"98.8989028930664, 20.29669952392578"
51990,Magway Airport,MM,279.0,MM-03,Magway,MWQ,"94.941399, 20.1656"
51991,Monywar Airport,MM,298.0,MM-01,Monywar,NYW,"95.093479, 22.221638"
51994,Namsang Airport,MM,3100.0,MM-17,Namsang,NMS,"97.73590087890625, 20.890499114990234"
51995,Namtu Airport,MM,2000.0,MM-17,Namtu,NMT,"97.383003, 23.083"
51996,Hpa-N Airport,MM,150.0,MM-13,Hpa-N,PAA,"97.67459869384766, 16.893699645996094"
52000,Pauk Airport,MM,249.0,MM-03,Pauk,PAU,"94.48690032958984, 21.449199676513672"
52002,Pathein Airport,MM,20.0,MM-07,Pathein,BSX,"94.7799, 16.815201"
52003,Hpapun Airport,MM,300.0,MM-13,Pa Pun,PPU,"97.449798584, 18.0666999817"
52004,Putao Airport,MM,1500.0,MM-11,Putao,PBU,"97.42630004882812, 27.32990074157715"
52005,Pakhokku Airport,MM,151.0,MM-03,Pakhokku,PKK,"95.11125, 21.4043"
52007,Pyay Airport,MM,120.0,MM-02,Pye,PRU,"95.26599884033203, 18.824499130249023"
52012,Sittwe Airport,MM,27.0,MM-16,Sittwe,AKY,"92.87259674072266, 20.132699966430664"
52013,Thandwe Airport,MM,20.0,MM-16,Thandwe,SNW,"94.30010223388672, 18.4606990814209"
52014,Tachileik Airport,MM,1280.0,MM-17,Tachileik,THL,"99.9354019165039, 20.483800888061523"
52019,Ye Airport,MM,30.0,MM-15,Ye,XYE,"97.86699676513672, 15.300000190734863"
52020,Yangon International Airport,MM,109.0,MM-06,Yangon,RGN,"96.1332015991, 16.907300949099998"
52037,Friday Harbor Seaplane Base,US,,US-WA,Friday Harbor,FBS,"-123.010002136, 48.537300109899995"
52044,Rosario Seaplane Base,US,,US-WA,Rosario,RSJ,"-122.867996216, 48.6456985474"
52047,Kenmore Air Harbor Seaplane Base,US,14.0,US-WA,Seattle,LKE,"-122.338996887, 47.6290016174"
52065,Roche Harbor Airport,US,100.0,US-WA,Roche Harbor,RCE,"-123.138999939, 48.6123008728"
52100,Maranggo Airport,ID,169.0,ID-SG,Waha-Tomea Island,TQQ,"123.91699981689, -5.7645702362061"
52137,Westsound/Wsx Seaplane Base,US,,US-WA,Westsound,WSX,"-122.95300293, 48.6179008484"
52153,Hasanuddin International Airport,ID,47.0,ID-SN,Ujung Pandang-Celebes Island,UPG,"119.55400085449219, -5.061629772186279"
52156,Tampa Padang Airport,ID,49.0,ID-SN,Mamuju-Celebes Island,MJU,"119.033333, -2.583333"
52159,Wabag Airport,PG,6800.0,PG-EPW,Wabag,WAB,"143.72, -5.4915"
52160,Frans Kaisiepo Airport,ID,46.0,ID-PA,Biak-Supiori Island,BIK,"136.10800170898438, -1.190019965171814"
